Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.897901, 744.700, 0.00120572, 18.6088, 663.13, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
2.88565, 743.948, 0.00387883, 20.8082, 694.47, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
9.52862, 743.707, 0.0128123, 23.3162, 707.78, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
17.1825, 743.690, 0.0231044, 24.8584, 716.60, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
23.8579, 743.727, 0.0320788, 25.8583, 722.37, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
34.3844, 743.664, 0.0462365, 27.1795, 730.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
54.1292, 743.622, 0.0727913, 29.0085, 739.98, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
71.6186, 743.453, 0.0963324, 30.2630, 747.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
90.4777, 743.538, 0.121685, 31.3734, 754.28, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
109.745, 743.292, 0.147648, 32.2934, 760.37, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
128.617, 743.280, 0.173040, 33.0389, 765.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
147.716, 743.234, 0.198748, 33.6651, 770.78, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
166.845, 743.255, 0.224478, 34.1903, 775.23, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
185.791, 743.218, 0.249982, 34.6235, 779.42, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
204.898, 743.191, 0.275700, 34.9916, 783.75, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
220.411, 743.191, 0.296573, 35.2338, 786.57, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
259.702, 743.247, 0.349415, 35.6749, 789.35, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
297.695, 743.185, 0.400566, 36.0076, 792.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
331.441, 743.196, 0.445967, 36.1993, 793.93, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
368.760, 743.232, 0.496157, 36.3926, 795.58, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
406.559, 743.177, 0.547055, 36.5744, 797.28, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
443.498, 743.148, 0.596782, 36.7320, 798.82, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
480.603, 743.107, 0.646748, 36.8937, 800.43, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
517.785, 743.126, 0.696766, 37.0501, 802.03, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
554.815, 743.127, 0.746594, 37.2090, 803.63, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
591.816, 743.088, 0.796428, 37.3813, 805.22, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
628.946, 743.151, 0.846323, 37.5765, 806.83, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
668.848, 743.123, 0.900050, 37.8954, 809.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
705.082, 743.176, 0.948741, 38.3040, 812.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
736.938, 743.140, 0.991654, 39.0857, 815.28, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
707.007, 743.087, 0.951445, 38.7363, 818.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
669.918, 743.126, 0.901486, 38.2929, 820.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
632.232, 743.051, 0.850859, 37.9892, 823.45, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
597.094, 743.092, 0.803526, 37.8228, 825.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
520.352, 743.051, 0.700292, 37.4962, 827.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
446.123, 743.085, 0.600367, 37.2160, 830.58, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
371.322, 743.035, 0.499737, 36.9188, 833.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
298.030, 743.014, 0.401109, 36.3500, 836.20, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
224.392, 743.059, 0.301984, 35.5838, 840.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
149.462, 743.015, 0.201156, 34.0465, 847.78, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.2769, 743.149, 0.102640, 30.9022, 858.02, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
