Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.19847, 755.770, 0.00158576, 0.0405767, 37.18, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.80433, 755.904, 0.00503282, 0.0482526, 41.95, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.6406, 756.160, 0.0153943, 0.0591477, 46.75, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.6362, 756.386, 0.0259606, 0.0661952, 51.37, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.4033, 756.584, 0.0362198, 0.0711502, 56.05, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.4669, 756.630, 0.0508398, 0.0766617, 60.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
57.9141, 756.941, 0.0765108, 0.0847665, 65.43, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.8574, 756.919, 0.101540, 0.0914749, 70.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.4872, 757.039, 0.127453, 0.0984631, 74.67, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
115.435, 757.205, 0.152449, 0.104361, 79.33, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
134.105, 757.039, 0.177144, 0.110701, 83.98, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.712, 757.113, 0.201703, 0.117594, 88.62, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
171.290, 757.137, 0.226234, 0.123889, 93.25, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
190.796, 757.043, 0.252028, 0.131546, 97.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
209.747, 756.992, 0.277080, 0.137885, 101.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
228.189, 756.796, 0.301520, 0.145049, 105.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
265.987, 756.879, 0.351426, 0.156799, 108.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
303.367, 756.853, 0.400826, 0.170038, 111.77, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
341.834, 756.725, 0.451728, 0.183870, 115.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
378.748, 756.803, 0.500458, 0.198963, 118.28, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
416.103, 756.697, 0.549894, 0.213450, 121.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
454.360, 756.553, 0.600567, 0.230780, 124.63, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
492.821, 756.593, 0.651368, 0.250185, 127.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
529.516, 756.473, 0.699979, 0.271042, 130.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
566.328, 756.337, 0.748778, 0.297817, 134.12, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
604.900, 756.424, 0.799684, 0.329021, 137.30, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
643.628, 756.444, 0.850860, 0.371646, 140.43, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
679.677, 756.371, 0.898602, 0.435712, 143.60, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
717.080, 756.474, 0.947924, 0.553098, 146.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
751.645, 756.099, 0.994109, 0.930733, 152.45, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
717.487, 756.232, 0.948765, 0.710672, 158.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
680.338, 756.011, 0.899906, 0.559771, 164.53, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
644.442, 755.923, 0.852524, 0.491844, 167.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
605.173, 756.031, 0.800461, 0.441565, 171.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
530.336, 755.889, 0.701605, 0.373173, 175.75, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
455.840, 755.844, 0.603088, 0.326362, 179.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
378.956, 755.915, 0.501321, 0.282303, 183.62, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
303.327, 755.980, 0.401236, 0.232829, 187.53, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
227.948, 755.700, 0.301639, 0.199512, 192.15, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.477, 755.698, 0.201770, 0.163678, 196.80, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.0074, 755.676, 0.101905, 0.123144, 199.22, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
38.3600, 755.720, 0.0507596, 0.096855, 201.73, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.2410, 755.756, 0.0254593, 0.0790806, 204.20, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
7.97601, 755.802, 0.010553, 0.0624139, 206.85, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
4.03302, 755.581, 0.00533764, 0.0530109, 209.55, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
