Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.07471, 744.098, 0.00144431, 0.0491977, 45.43, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.58163, 744.276, 0.00481223, 0.0675719, 50.37, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
11.4547, 744.299, 0.0153899, 0.0902704, 55.12, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
19.5870, 744.249, 0.0263178, 0.104365, 59.77, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
26.7724, 744.189, 0.0359753, 0.113468, 64.43, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
37.3045, 744.187, 0.0501278, 0.125160, 69.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
56.6425, 744.249, 0.076107, 0.142686, 73.67, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
75.4042, 744.147, 0.101330, 0.157495, 78.27, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
94.6828, 744.205, 0.127227, 0.172648, 82.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
113.285, 744.352, 0.152193, 0.186635, 87.58, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
131.667, 744.151, 0.176936, 0.200097, 92.18, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
150.481, 744.380, 0.202156, 0.213643, 96.85, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
168.598, 743.875, 0.226649, 0.227547, 101.48, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
187.439, 744.004, 0.251933, 0.240881, 105.35, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
206.126, 743.851, 0.277107, 0.255101, 109.20, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
224.593, 743.849, 0.301933, 0.268716, 113.10, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
260.880, 743.802, 0.350738, 0.292674, 116.32, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
298.591, 743.916, 0.401378, 0.318860, 119.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
334.616, 743.963, 0.449775, 0.345302, 122.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
373.342, 744.238, 0.501643, 0.372439, 125.95, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
410.496, 744.184, 0.551606, 0.401827, 129.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
446.957, 744.098, 0.600670, 0.431956, 132.45, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
484.493, 744.194, 0.651031, 0.463888, 135.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
521.543, 744.255, 0.700759, 0.500278, 138.82, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
558.667, 744.145, 0.750750, 0.540233, 142.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
595.953, 744.187, 0.800812, 0.583294, 145.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
632.854, 744.086, 0.850513, 0.637636, 147.95, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
668.591, 744.148, 0.898465, 0.707211, 151.13, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
705.478, 744.320, 0.947816, 0.815571, 153.82, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
738.495, 744.414, 0.992049, 1.20218, 159.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
707.449, 744.488, 0.950250, 0.914758, 165.52, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
670.922, 744.454, 0.901227, 0.779943, 168.73, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
635.072, 744.541, 0.852971, 0.710372, 171.95, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
596.136, 744.545, 0.800671, 0.660007, 175.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
523.333, 744.587, 0.702850, 0.584772, 178.30, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
445.736, 744.642, 0.598592, 0.522676, 185.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
373.757, 744.511, 0.502017, 0.467686, 189.58, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
299.653, 744.495, 0.402492, 0.400637, 193.48, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
224.880, 744.575, 0.302025, 0.342261, 198.10, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
150.826, 744.581, 0.202565, 0.282089, 202.77, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.5513, 744.573, 0.102812, 0.214534, 207.42, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
38.4892, 744.522, 0.0516965, 0.170408, 209.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.2851, 744.553, 0.0259015, 0.140279, 212.42, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
8.10944, 744.514, 0.0108923, 0.114790, 215.07, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
4.14553, 744.610, 0.00556739, 0.0980703, 217.93, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
