Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.23169, 771.943, 0.00159557, 0.0118577, 30.47, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
4.16101, 771.701, 0.00539199, 0.0152139, 35.27, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
12.8908, 771.482, 0.0167091, 0.0202451, 40.08, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
20.5803, 771.785, 0.0266658, 0.0227557, 44.75, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.9925, 771.736, 0.0362721, 0.0237137, 49.38, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
39.7896, 771.676, 0.0515626, 0.0257977, 53.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
59.3621, 771.612, 0.0769325, 0.0292761, 58.68, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
78.6200, 771.621, 0.101889, 0.0321803, 63.32, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
98.6683, 771.712, 0.127856, 0.0354303, 68.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
117.843, 771.809, 0.152684, 0.0386964, 72.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
136.980, 771.317, 0.177592, 0.0424972, 77.28, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
156.029, 771.334, 0.202284, 0.0439454, 81.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
175.585, 771.320, 0.227643, 0.0474202, 86.53, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
194.351, 771.124, 0.252036, 0.0502607, 91.12, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
214.022, 770.935, 0.277614, 0.0519674, 95.73, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
232.811, 771.192, 0.301885, 0.0556713, 100.38, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
271.093, 771.081, 0.351575, 0.0601907, 103.52, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
310.088, 771.034, 0.402171, 0.066921, 106.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
348.684, 770.991, 0.452255, 0.0725936, 109.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
386.526, 771.004, 0.501329, 0.0778273, 112.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
425.274, 770.915, 0.551648, 0.0849554, 116.13, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
463.625, 770.725, 0.601544, 0.0893513, 119.33, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
501.886, 770.965, 0.650983, 0.0956958, 122.42, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
540.730, 771.087, 0.701258, 0.103477, 125.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
580.380, 770.974, 0.752788, 0.111693, 128.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
618.756, 770.957, 0.802582, 0.122328, 131.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
656.235, 770.818, 0.851349, 0.129424, 135.15, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
693.634, 770.555, 0.900174, 0.144685, 138.30, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
733.082, 770.602, 0.951312, 0.176535, 141.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
764.866, 770.826, 0.992267, 0.289406, 144.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
733.658, 770.689, 0.951952, 0.201436, 147.87, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
694.198, 770.590, 0.900866, 0.156806, 151.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
655.034, 770.471, 0.850173, 0.134291, 154.22, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
616.737, 770.612, 0.800322, 0.127206, 157.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
539.850, 770.566, 0.700589, 0.109473, 160.53, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
462.706, 770.652, 0.600409, 0.0963209, 163.70, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
385.332, 770.565, 0.500064, 0.083974, 166.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
308.569, 770.525, 0.400466, 0.0709135, 170.10, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
231.551, 770.260, 0.300614, 0.0581235, 174.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.656, 770.346, 0.200762, 0.0453227, 179.37, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.4229, 770.185, 0.100525, 0.0308684, 184.00, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
38.6565, 769.941, 0.0502071, 0.0217537, 188.82, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.4495, 770.012, 0.0252587, 0.0157448, 193.63, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
7.89987, 770.104, 0.0102582, 0.00988708, 198.47, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.95427, 769.831, 0.00513654, 0.00559194, 203.43, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
