Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
1.09437, 771.946, 0.00141768, 0.0233524, 28.13, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.86474, 771.874, 0.00500696, 0.0316892, 32.95, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
12.3390, 771.797, 0.0159873, 0.042781, 37.73, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
20.4298, 771.606, 0.026477, 0.0470211, 42.42, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.8562, 771.565, 0.0361035, 0.0500246, 47.03, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
39.2934, 771.935, 0.0509025, 0.0541277, 51.68, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
59.1079, 771.631, 0.0766012, 0.0605692, 56.30, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
78.3019, 771.553, 0.101486, 0.066354, 61.00, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
98.3508, 771.676, 0.127451, 0.0713487, 65.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
117.517, 771.635, 0.152297, 0.0753237, 70.37, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
136.870, 771.552, 0.177396, 0.0818051, 74.98, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
155.934, 771.121, 0.202218, 0.0864112, 79.63, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
175.217, 771.333, 0.227161, 0.0902955, 84.23, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
194.490, 771.217, 0.252186, 0.0942804, 88.83, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
213.589, 770.896, 0.277066, 0.0980057, 93.43, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
232.854, 771.122, 0.301967, 0.102792, 98.07, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
270.921, 770.967, 0.351404, 0.111549, 101.93, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
308.532, 771.146, 0.400095, 0.122262, 105.10, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
348.399, 770.957, 0.451904, 0.131447, 108.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
386.262, 771.066, 0.500946, 0.140155, 111.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
424.940, 770.917, 0.551213, 0.151480, 114.52, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
462.829, 770.869, 0.600399, 0.161471, 117.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
502.985, 770.799, 0.652551, 0.171455, 120.90, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
540.559, 771.010, 0.701105, 0.181219, 124.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
578.854, 771.049, 0.750736, 0.198137, 127.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
617.484, 770.989, 0.800900, 0.214439, 130.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
655.738, 770.769, 0.850757, 0.235287, 133.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
693.870, 770.715, 0.900294, 0.270480, 136.73, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
731.220, 770.582, 0.948920, 0.323368, 139.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
764.116, 770.651, 0.991519, 0.468756, 143.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
734.710, 770.875, 0.953086, 0.355645, 146.25, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
694.389, 770.708, 0.900976, 0.282947, 149.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
655.098, 770.547, 0.850172, 0.250599, 152.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
617.197, 770.727, 0.800798, 0.226449, 155.75, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
540.085, 770.588, 0.700874, 0.195723, 158.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
463.364, 770.604, 0.601300, 0.172530, 162.13, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
386.146, 770.618, 0.501086, 0.151490, 165.37, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
308.920, 770.548, 0.400910, 0.131757, 168.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
232.042, 770.498, 0.301158, 0.111333, 172.40, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
154.970, 770.356, 0.201167, 0.0910776, 177.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
78.0112, 770.325, 0.101271, 0.0691286, 181.70, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
38.5893, 770.268, 0.0500986, 0.0543106, 186.48, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.3777, 769.995, 0.025166, 0.0435006, 191.32, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
8.00444, 770.024, 0.010395, 0.031963, 196.15, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
4.04531, 769.836, 0.00525477, 0.0238155, 201.13, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
