Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.964445, 755.503, 0.00127656, 0.0248814, 23.97, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.71204, 755.422, 0.00491387, 0.0348603, 26.28, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
12.0677, 755.619, 0.0159706, 0.0458944, 28.58, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
20.0240, 755.733, 0.0264962, 0.052100, 30.95, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.7004, 755.588, 0.0366608, 0.0556072, 33.28, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.5325, 755.612, 0.0509951, 0.0604413, 35.58, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
57.8864, 755.508, 0.0766191, 0.0679395, 38.00, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.7840, 755.461, 0.101639, 0.0737851, 40.30, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.3538, 755.394, 0.127554, 0.0793449, 42.63, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
115.226, 755.356, 0.152545, 0.0838048, 44.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
134.108, 755.342, 0.177546, 0.0888247, 47.27, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.877, 754.941, 0.202502, 0.0933242, 49.63, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
171.372, 754.999, 0.226984, 0.0970643, 51.97, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
190.473, 754.871, 0.252325, 0.101476, 54.30, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
209.071, 754.808, 0.276985, 0.104169, 56.62, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
228.038, 754.907, 0.302074, 0.110197, 58.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
265.884, 754.957, 0.352184, 0.116450, 60.50, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
302.690, 754.872, 0.400982, 0.126350, 62.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
341.188, 754.866, 0.451985, 0.133964, 63.67, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
377.244, 754.872, 0.499746, 0.144457, 65.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
416.543, 754.912, 0.551777, 0.153823, 66.87, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
453.097, 754.996, 0.600131, 0.163219, 68.40, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
491.995, 755.032, 0.651622, 0.177218, 70.03, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
529.694, 754.903, 0.701671, 0.191322, 71.63, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
567.595, 754.689, 0.752091, 0.209218, 73.23, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
605.139, 754.676, 0.801852, 0.229774, 74.82, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
642.557, 754.613, 0.851506, 0.250993, 76.45, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
677.645, 754.637, 0.897975, 0.287318, 78.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
717.221, 754.773, 0.950248, 0.347068, 79.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
748.638, 754.790, 0.991850, 0.473541, 81.25, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
718.153, 754.642, 0.951648, 0.392293, 82.82, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
680.037, 754.702, 0.901067, 0.331196, 84.43, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
641.121, 754.716, 0.849487, 0.296657, 86.02, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
603.949, 754.822, 0.800122, 0.272112, 87.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
529.255, 754.749, 0.701234, 0.235491, 89.27, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
453.659, 754.955, 0.600908, 0.210022, 90.98, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
377.623, 754.810, 0.500289, 0.180499, 92.57, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
302.412, 754.816, 0.400643, 0.137437, 94.18, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
226.728, 754.631, 0.300449, 0.120402, 96.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
151.450, 754.437, 0.200746, 0.101721, 98.92, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.1446, 754.625, 0.100904, 0.0820497, 101.27, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
37.8893, 754.568, 0.0502132, 0.0672871, 103.60, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
18.9572, 754.347, 0.0251306, 0.0561967, 105.93, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
7.82590, 754.502, 0.0103723, 0.0448293, 108.28, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.95098, 754.569, 0.00523607, 0.0370057, 110.65, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
