Pressure  Torr, p₀  Torr, Relative Pressure; p/p₀ , Volume Adsorbed @STP cm³, Time  min, Eq. Band  %, Eq. Interval  sec, Eq.Timeout  min, Eq. Min. Time  min, Re-dose Tol.  %, Re-dose Max.  Torr, Re-dose dV max.  cm³/g
0.897458, 755.758, 0.00118749, 0.013905, 26.67, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.82643, 755.714, 0.00506333, 0.0176953, 30.08, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
12.2734, 755.560, 0.0162441, 0.0231244, 34.35, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
20.1435, 755.854, 0.026650, 0.0258248, 39.48, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
27.5660, 756.037, 0.0364612, 0.0273365, 44.28, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
38.8837, 756.241, 0.0514171, 0.0300377, 49.05, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
58.0683, 756.610, 0.076748, 0.0342814, 53.75, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
77.0231, 756.536, 0.101810, 0.0381579, 58.40, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
96.6542, 756.828, 0.127710, 0.0415992, 63.05, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
115.356, 756.758, 0.152435, 0.0451267, 67.72, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
134.466, 756.982, 0.177635, 0.048343, 72.35, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
153.246, 757.107, 0.202410, 0.0518152, 77.00, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
172.228, 757.168, 0.227463, 0.0556191, 81.67, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
191.027, 757.193, 0.252283, 0.0598765, 86.27, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
210.071, 757.037, 0.277491, 0.0639007, 90.93, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
228.175, 757.118, 0.301374, 0.0685736, 95.55, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
266.597, 757.158, 0.352102, 0.0767148, 99.38, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
303.763, 756.845, 0.401354, 0.0842557, 103.25, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
342.209, 756.804, 0.452177, 0.0932671, 107.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
379.548, 757.032, 0.501364, 0.102083, 110.20, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
417.476, 756.619, 0.551765, 0.110936, 113.47, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
455.253, 756.720, 0.601613, 0.121510, 116.65, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
493.060, 756.566, 0.651708, 0.132777, 119.92, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
530.530, 756.588, 0.701213, 0.146261, 123.05, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
567.917, 756.506, 0.750711, 0.158638, 126.20, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
606.337, 756.566, 0.801434, 0.175180, 129.43, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
643.913, 756.543, 0.851124, 0.197015, 132.55, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
680.494, 756.485, 0.899547, 0.223388, 135.72, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
718.803, 756.439, 0.950246, 0.272134, 138.88, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
751.160, 756.606, 0.992802, 0.391164, 142.07, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
720.722, 756.423, 0.952804, 0.327509, 145.17, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
680.916, 756.367, 0.900246, 0.264813, 148.25, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
644.152, 756.365, 0.851642, 0.237472, 150.85, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
604.408, 756.048, 0.799431, 0.218518, 154.08, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
529.443, 756.065, 0.700261, 0.189191, 156.78, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
454.648, 756.263, 0.601177, 0.167976, 160.03, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
378.740, 755.971, 0.500998, 0.145499, 162.87, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
303.018, 756.136, 0.400745, 0.123100, 166.15, 0.50, 6, 10, 0, 25.000, 3.00, 0.000
227.670, 756.023, 0.301142, 0.101416, 170.13, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
152.064, 756.064, 0.201125, 0.0772667, 174.10, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
76.6975, 755.852, 0.101472, 0.0503232, 178.10, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
37.9710, 755.807, 0.050239, 0.0323436, 182.03, 0.50, 10, 10, 0, 25.000, 3.00, 0.000
19.1919, 756.011, 0.0253858, 0.0209128, 185.97, 1.50, 10, 10, 0, 25.000, 3.00, 0.000
7.84260, 755.850, 0.0103759, 0.0113283, 189.88, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
3.96567, 755.751, 0.00524732, 0.00487017, 194.50, 2.00, 10, 10, 0, 25.000, 3.00, 0.000
